Name,Year of release,Aired Date,Aired On,Number of Episode,Network,Duration,Content Rating,Synopsis,Cast,Genre,Tags,Rank,Rating
The Glory Part 2,2023,"Mar 10, 2023", Friday,8,Netflix ,55 min.,18+ Restricted (violence & profanity) ,"Moon Dong Eun's silent fury against those students that horrifically abused her during her high school years continues to burn inside of her. She meticulously executes her plan to inflict ultimate pain on her tormentors. Meanwhile, the sudden disappearance of Son Myeong Oh has gotten the attention of the police and his friends. Joo Yeo Jeong follows Moon Dong Eun and is willing to do anything she asks in her pursuit of revenge. Before Moon Dong Eun begins her final moves, she offers her nemesis Park Yeon Jin a chance to save herself if she turns in to the police, but Park Yeon Jin has her own plans to stop Moon Dong Eun. A violent and bloody game of nerves plays out between these rivals.","Song Hye Kyo, Lee Do Hyun, Im Ji Yeon, Yeom Hye Ran, Park Sung Hoon, Jung Sung Il","Thriller,  Drama,  Melodrama ","Revenge, Graphic Violence, Brief Nudity, Suspense, Strong Female Lead, Domestic Violence, Trauma, Family Abuse, Perpetrator-Victim Relationship, Nudity",#11,9.0
Mr. Queen,2020,"Dec 12, 2020 - Feb 14, 2021"," Saturday, Sunday",20,tvN ,1 hr. 15 min.,15+ - Teens 15 or older ,"Jang Bong Hwan is a South Korean chef who has risen up the ranks to cook for the country’s top politicians in the Blue House’s presidential residences. After a serious accident, he finds himself in the body of the young queen, Kim So Yong, when whisked away to an era deep in Korea’s past.","Shin Hye Sun, Kim Jung Hyun, Bae Jong Ok, Kim Tae Woo, Jo Yun Hee, Seol In Ah","Historical,  Comedy,  Romance,  Fantasy ","Transmigration, Sassy Female Lead, Joseon Dynasty, Eccentric Female Lead, Calm Male Lead, Time Travel, Marriage Of Convenience, Smart Male Lead, Nice Male Lead, Gender Swap",#12,9.0
Mother,2018,"Jan 24, 2018 - Mar 15, 2018"," Wednesday, Thursday",16,tvN ,1 hr. 3 min.,15+ - Teens 15 or older ,"Realizing one of her students is being abused, school teacher and bird researcher Soo Jin impulsively kidnaps the girl and acts as a substitute mother in an attempt to take care of her.","Lee Bo Young, Heo Yool, Lee Hye Young, Go Sung Hee, Lee Jae Yoon, Go Bo Gyeol","Thriller,  Mystery,  Psychological,  Melodrama ","Mother-Daughter Relationship, Independent Female Lead, Smart Female Lead, Child Abuse, Adoption, Strong Female Lead, Suspense, Orphan Female Lead, Motherhood, Investigation",#13,9.0
Dr. Romantic Season 3,2023,"Apr 28, 2023 - Jun 17, 2023"," Friday, Saturday",16,SBS ,1 hr. 10 min.,15+ - Teens 15 or older ,"At Doldam Hospital, Dr. Kim Sa Bu and his team are committed to saving lives. After three years, a state-of-the-art trauma centre is set to open, equipped with the latest in medical technology.","Han Seok Kyu, Lee Sung Kyung, Ahn Hyo Seop, Kim Joo Heon, So Ju Yeon, Jin Kyung","Romance,  Drama,  Medical ","Hospital Setting, Teamwork, Genius Male Lead, Surgeon Male Lead, Neurosurgeon Male Lead, Hospital Director Male Lead, Doctor Female Lead, Doctor Male Lead, Hardworking Male Lead, Hardworking Female Lead",#14,9.0
Crash Landing on You,2019,"Dec 14, 2019 - Feb 16, 2020"," Sunday, Saturday",16,"Netflix,  tvN ",1 hr. 25 min.,15+ - Teens 15 or older ,"After getting into a paragliding accident, South Korean heiress Yoon Se Ri crash lands in North Korea. There, she meets North Korean army officer Ri Jung Hyuk, who agrees to help her return to South Korea. Despite the tension between their countries, the two of them start falling for one another.","Hyun Bin, Son Ye Jin, Seo Ji Hye, Kim Jung Hyun, Yang Kyung Won, Lee Shin Young","Military,  Comedy,  Romance,  Political ","North And South Korea, Strong Male Lead, Rich Female Lead, Fate, Nice Male Lead, Calm Male Lead, Strong Female Lead, Friendship, Smart Female Lead, Soulmates",#15,9.0
Alchemy of Souls Season 2,2022,"Dec 10, 2022 - Jan  8, 2023"," Saturday, Sunday",10,"Netflix,  tvN ",1 hr. 21 min.,15+ - Teens 15 or older ,"Jang Uk returns from death, and three years later, the story of the mages unfolds anew. Jang Uk becomes a hunter of the soul-shifters when a young woman, a prisoner in her own home, seeks his help to reclaim her freedom.","Lee Jae Wook, Go Youn Jung, Hwang Min Hyun, Shin Seung Ho, Yoo  Joon Sang, Oh Na Ra","Action,  Historical,  Romance,  Fantasy ","Magical Power, Strong Male Lead, Marriage Of Convenience, Fantasy World, Smart Male Lead, Birth Secret, Nice Male Lead, Transmigration, Supernatural, Antihero Male Lead",#16,9.0
Extraordinary Attorney Woo,2022,"Jun 29, 2022 - Aug 18, 2022"," Wednesday, Thursday",16,"ENA,  Netflix ",1 hr. 17 min.,15+ - Teens 15 or older ,"Diagnosed with autism spectrum disorder, 27-year-old Woo Young Woo graduated at the top of her class from the prestigious Seoul National University for both college and law school due to her high IQ of 164, impressive memory, and creative thought process. Working as a lawyer, she finds herself struggling when it comes to social interactions.","Park Eun Bin, Kang Tae Oh, Kang Ki Young, Jeon Bae Soo, Baek Ji Won, Jin Kyung","Law,  Romance,  Life,  Drama ","Autistic Female Lead, Autism, Attorney Female Lead, Smart Female Lead, Workplace Setting, Nice Male Lead, Father-Daughter Relationship, Courtroom Setting, Single Mother/Father Supporting Character, Slow Burn Romance",#17,8.9
Vincenzo,2021,"Feb 20, 2021 - May  2, 2021"," Saturday, Sunday",20,"Netflix,  tvN ",1 hr. 25 min.,15+ - Teens 15 or older ,"At the age of eight, Park Joo Hyeong left for Italy after being adopted. Now an adult, he is known as Vincenzo Cassano and employed by a Mafia family as a consigliere. Due to warring Mafia factions, he flies to South Korea where he gets involved with lawyer Hong Cha Young. She is the type of attorney who will do anything to win a case. Now back in his motherland, he gives an unrivalled conglomerate a taste of his own medicine—with a side of his own version of justice.","Song Joong Ki, Jeon Yeo Been, Ok Taec Yeon, Kim Yeo Jin, Jo Han Chul, Kwak Dong Yeon","Comedy,  Law,  Crime,  Drama ","Mafia, Revenge, Slight Romance, Eccentric Female Lead, Smart Male Lead, Injustice, Black Comedy, Corrupt Legal System, Badass Male Lead, Skilled Killer",#18,8.9
Navillera,2021,"Mar 22, 2021 - Apr 27, 2021"," Monday, Tuesday",12,"Netflix,  tvN ",1 hr. 5 min.,15+ - Teens 15 or older ,A 70-year-old with a dream and a 23-year-old with a gift lift each other out of harsh realities and rise to the challenge of becoming ballerinos.,"Park In Hwan, Song Kang, Na Moon Hee, Hong Seung Hee, Kim Tae Hoon, Yoon  Ji Hye","Life,  Drama ","Ballet, Life Lesson, Unusual Friendship, Adapted From A Webtoon, Second Chance, Father-Son Relationship, Character Development, Grandpa-Granddaughter Relationship, Bromance, Kind Male Lead",#19,8.9
It's Okay to Not Be Okay,2020,"Jun 20, 2020 - Aug  9, 2020"," Saturday, Sunday",16,"Netflix,  tvN ",1 hr. 15 min.,15+ - Teens 15 or older ,"Moon Gang Tae is a community health worker at a psychiatric ward who was blessed with everything including a great body, smarts, ability to sympathize with others, patience, ability to react quickly, stamina, and more. Meanwhile, Ko Moon Young is a popular writer of children’s literature who, due to suffering from an antisocial personality disorder, seems extremely selfish, arrogant, and rude.","Kim Soo Hyun, Seo Yea Ji, Oh Jung Se, Park Gyu Young, Jang Young Nam, Kim Chang Wan","Psychological,  Comedy,  Romance,  Drama ","Possessive Female Lead, Independent Female Lead, Successful Female Lead, Melodrama, Healing, Selfless Male Lead, Badass Female Lead, Psychiatry, Childhood Connection, Trauma",#20,8.9
Signal,2016,"Jan 22, 2016 - Mar 12, 2016"," Friday, Saturday",16,tvN ,1 hr. 15 min.,15+ - Teens 15 or older ,"Fifteen years ago, a young girl was kidnapped on the way from school, and Park Hae Yeong, who was an elementary school student at that time, witnessed the crime. A few days later, the girl was found dead, and the police were not able to find the culprit. As time went by, Hae Yeong started distrusting the police. ","Lee Je Hoon, Kim Hye Soo, Jo Jin Woong, Kim Won Hae, Lee Yoo Joon, Jang Hyun Sung","Thriller,  Mystery,  Sci-Fi ","Different Timelines, Butterfly Effect, Murder, Hwaseong Serial Murders, Suspense, Investigation, Death, Tragic Past, Corruption, Time Altering",#21,8.9
The Glory,2022,"Dec 30, 2022", Friday,8,Netflix ,50 min.,18+ Restricted (violence & profanity) ,"A high school student dreams of becoming an architect. However, she had to drop out of school after suffering from brutal school violence. Years later, the perpetrator gets married and has a kid. Once the kid is in elementary school, the former victim becomes her homeroom teacher and starts her thorough revenge towards the perpetrators and bystanders of her bullying days.","Song Hye Kyo, Lee Do Hyun, Im Ji Yeon, Yeom Hye Ran, Park Sung Hoon, Jung Sung Il","Thriller,  Drama,  Melodrama ","Revenge, School Bullying, School Violence, Strong Female Lead, Social Issues, Sexual Content, Antiheroine Female Lead, Doctor Male Lead, Teacher Female Lead, Time Skip",#22,8.9
The Good Bad Mother,2023,"Apr 26, 2023 - Jun  8, 2023"," Wednesday, Thursday",14,"jTBC,  Netflix,  TVING ",1 hr. 10 min.,15+ - Teens 15 or older ,"Young Soon is a single mother and pig farmer who raised her son Kang Ho alone. Despite her love for him, her strict parenting caused Kang Ho to view her as a bad mother. As an adult, Kang Ho became a cold-hearted prosecutor and kept his distance from his mother. However, an unexpected accident caused him to return to his hometown and start over with Young Soon. Kang Ho's childhood friend Mi Joo, known for her warm heart and strong sense of justice, also reconnected with him after his accident, leading to a transformative experience for her.","Ra Mi Ran, Lee Do Hyun, Ahn Eun Jin, Yoo In Soo, Choi Moo Sung, Jung Woong In","Comedy,  Life,  Drama,  Family ","Mean Mother, Mother-Son Relationship, Village Setting, Death Of A Husband, Age Regression, Farmer Female Lead, Illness, Family Relationship, Cold Man/Warm Woman, Childhood Friends' Relationship",#23,8.9
Happiness,2021,"Nov  5, 2021 - Dec 11, 2021"," Friday, Saturday",12,"TVING,  tvN ",1 hr. 5 min.,15+ - Teens 15 or older ,"Yoon Sae Bom is a special agent with quick wits and reflexes and another special quality. She earns the opportunity to move into a new apartment set aside for civil servants in a coveted apartment complex by pretending to marry high school friend Jung Yi Hyun. Yi Hyun is a detective investigating the spread of a mysterious disease. They are trapped in their apartment building when Han Tae Seok, head of the task force to control the spread of the disease, orders the complex to be sealed off from the rest of the city.  ","Han Hyo Joo, Park Hyung Sik, Jo  Woo Jin, Lee Joon Hyuk, Park Joo Hee, Baek Hyun Jin","Action,  Thriller,  Drama,  Sci-Fi ","Disease, Strong Female Lead, Virus, Detective Male Lead, Slow Burn Romance, Survival, Infectious Disease, Smart Male Lead, Zombies, Fake Marriage",#24,8.9
Kingdom Season 2,2020,"Mar 13, 2020", Friday,6,Netflix ,45 min.,18+ Restricted (violence & profanity) ,"Following the events in season one, waves of the undead threaten to reach the capital. In an attempt to save the people during the plague and regain his right to the throne, Crown Prince Lee Chang pursues Jo Hak Joo to overthrow him, while the Queen is in a race against time to produce an heir to the throne. ","Joo Ji Hoon, Bae Doo Na, Kim Sung Gyu, Ryu Seung Ryong, Kim  Sang Ho, Jun Suk Ho","Thriller,  Historical,  Horror,  Supernatural ","Zombies, Corruption, Strong Male Lead, Gore, Strong Female Lead, Power Struggle, Smart Female Lead, Death, Greed, Joseon Dynasty",#25,8.9
Mr. Sunshine,2018,"Jul  7, 2018 - Sep 30, 2018"," Saturday, Sunday",24,"Netflix,  tvN ",1 hr. 20 min.,15+ - Teens 15 or older ,"Mr. Sunshine centers on a young boy born into a house servant's family who travels to the United States during the 1871 Shinmiyangyo (U.S. expedition to Korea). He returns to his homeland later as a U.S. marine officer. He meets and falls in love with an aristocrat’s daughter. At the same time, he discovers a plot by foreign forces to colonize Korea.  Edit Translation  English 한국어 中文(简体) 中文(台灣)","Lee Byung Hun, Kim Tae Ri, Yoo Yeon Seok, Byun Yo Han, Kim Min Jung, Kim Gab Soo","Military,  Historical,  Romance,  Melodrama ","Strong Male Lead, Independent Female Lead, Strong Female Lead, Smart Male Lead, Bromance, Imperialism, Gun Violence, Rebellion, Female Lead Action Scenes, Japanese Colonial Rule",#26,8.9
Taxi Driver Season 2,2023,"Feb 17, 2023 - Apr 15, 2023"," Friday, Saturday",16,"SBS,  ViuTV ",1 hr. 10 min.,18+ Restricted (violence & profanity) ,"Despite disbanding after Do Gi's successful revenge, the Rainbow Deluxe Taxi crew, including Seong Cheol, Go Eun, Gyeong Gu, and Jin Eon, can't resist the call to reunite with their former leader. Though each attempts to live a regular life with a typical job, their innate desire to fight against injustice draws them back to one another. The group even welcomes a new member, a kind-hearted but clumsy young man named On Ha Jun, who stumbles upon the secret basement of Rainbow Taxi.","Lee Je Hoon, Kim Eui Sung, Pyo Ye Jin, Jang Hyuk Jin, Bae Yoo Ram, Shin Jae Ha","Action,  Thriller,  Mystery,  Crime ","Skilled Fighter, Teamwork, Revenge, Taxi Setting, Compassionate Male Lead, Undercover Operation, Slight Comedy, Organized Crime, Episodic Format, Graphic Violence",#27,8.9
Tomorrow,2022,"Apr  1, 2022 - May 21, 2022"," Friday, Saturday",16,"MBC,  Netflix ",60 min.,15+ - Teens 15 or older ,"Choi Joon Woong seeks a job, but it's hard for him to get hired. One night, he witnesses a man trying to end his life and decides to stop him. He gets acquainted with grim reapers Koo Ryeon and Im Ryoong Gu, who belong to a crisis management team. Their purpose is to prevent people from committing suicide. After Joon Woong ends up in a coma and becomes half-human and half-spirit, he is employed by a company of grim reapers as the newest member of the crisis management team.","Kim Hee Sun, Rowoon, Lee Soo Hyuk, Yun Ji On, Kim Hae Sook, Kim Nu Ri","Action,  Thriller,  Drama,  Fantasy ","Grim Reaper Female Lead, Grim Reaper Male Lead, Underworld, Attempted Suicide, Death, Suicide, Afterlife, Suicide Prevention, Coma, Team Leader Female Lead",#28,8.9
Tale of the Nine-Tailed 1938,2023,"May  6, 2023 - Jun 11, 2023"," Saturday, Sunday",12,tvN ,1 hr. 10 min.,15+ - Teens 15 or older ,"An unexpected case leads Lee Yeon back in time to 1938, where he reencounters Ryu Hong Joo. Once a guardian spirit of the mountain in the west, she's now the owner of a high-end restaurant in the capital city of Gyeongseong. He also meets his younger brother Lee Rang. Meanwhile, another former guardian spirit and ex-friend Cheon Moo Young has become hostile. Lee Yeon struggles to return to the present, to his loved one.","Lee Dong Wook, Kim So Yeon, Kim Bum, Ryu Kyung Soo, Kim Yong Ji, Hwang Hee","Historical,  Horror,  Romance,  Fantasy ","Nine-tailed Fox, Action, 1930s, Strong Male Lead, Bromance, Supernatural, Brothers' Relationship, Badass Male Lead, Nice Male Lead, Reincarnation",#29,8.9
Healer,2014,"Dec  8, 2014 - Feb 10, 2015"," Monday, Tuesday",20,KBS2 ,60 min.,15+ - Teens 15 or older ,"Seo Jung Hoo is a special kind of night courier, known only as ""Healer"" by his clients. For the right price and with the help of a genius hacker, he gets his clients whatever they want, as long as it doesn't involve murder. His latest job leads him to a second-rate tabloid writer, Chae Young Shin, and the successful reporter, Kim Moon Ho. He begins to uncover the mystery of his own shared past with the two reporters, thus putting them all in danger. Edit Translation  English Arabic Русский Ελληνικά","Ji Chang Wook, Park Min Young, Yoo Ji Tae, Kim  Mi Kyung, Park Sang Won, Do Ji Won","Action,  Thriller,  Mystery,  Romance ","Double Identity, Hidden Identity, Smart Male Lead, Strong Male Lead, Childish Female Lead, Fight, Hardworking Female Lead, Sassy Female Lead, Trauma, Badass Male Lead",#30,8.8
Mouse,2021,"Mar  3, 2021 - May 19, 2021"," Wednesday, Thursday",20,tvN ,1 hr. 15 min.,18+ Restricted (violence & profanity) ,"A suspenseful story that asks the key question, “What if we could identify psychopaths in advance?” A crazed serial killer’s ruthless murders have left the entire nation gripped with fear, and chaos reigns. Justice-seeking rookie police officer, Jung Ba Reum, comes face to face with the killer. While he survives his dangerous encounter with the psychopath, Jung Ba Reum finds his life completely changing before his eyes.","Lee Seung Gi, Lee Hee Joon, Park Ju Hyun, Kyung Soo Jin, Woo Ji Hyun, Ahn Jae Wook","Thriller,  Mystery,  Psychological,  Sci-Fi ","Murder, Investigation, Character Development, Dark Fiction, Suspense, Flashback To Past, Grandma-Granddaughter Relationship, Death, Sexual Assault, Child Sexual Abuse",#31,8.8
SKY Castle,2018,"Nov 23, 2018 - Feb  1, 2019"," Friday, Saturday",20,jTBC ,1 hr. 15 min.,15+ - Teens 15 or older ,"Han Seo Jin, Noh Seung Hye, Jin Jin Hee, and Lee Myung Joo all live with their families in SKY Castle, a luxury private neighborhood hosting wealthy doctors and professors. All of the women wish for their children to enter prestigious universities and are actively supporting their education.","Yeom Jung Ah, Lee Tae Ran, Yoon Se Ah, Oh Na Ra, Kim Seo Hyung, Jung Joon Ho","Mystery,  Psychological,  Drama ","Family Secret, Social Commentary, Family Pressure, Satire, Multiple Mains, Sibling Rivalry, Birth Secret, Female Centered Plot, Suicide, Black Comedy",#32,8.8
The Red Sleeve,2021,"Nov 12, 2021 - Jan  1, 2022"," Friday, Saturday",17,"MBC,  Viki ",1 hr. 20 min.,15+ - Teens 15 or older ,"In Korea during the second half of the 1700s, Yi San is an aloof and perfection-loving young prince. His father’s killing haunts him, although it leaves him in the position to take the throne once his grandfather – the cruel and ruthless current king responsible for Yi San’s father’s death – dies. He has resolved to become a benevolent monarch who will reform the law when he eventually takes the throne, but the way his father was killed has scarred him emotionally.","Lee Jun Ho, Lee Se Young, Kang Hoon, Lee Deok Hwa, Park Ji Young, Jang Hee Jin","Historical,  Romance,  Drama,  Melodrama ","Noble Man/Common Woman, Death, Tearjerker, Joseon Dynasty, Strong Male Lead, Male Chases Female First, Smart Female Lead, Master-Servant Relationship, Strong Female Lead, King Male Lead",#33,8.8
Stranger,2017,"Jun 10, 2017 - Jul 30, 2017"," Saturday, Sunday",16,"Netflix,  tvN ",1 hr. 10 min.,15+ - Teens 15 or older ,"Hwang Shi Mok underwent brain surgery as a child to curb his violent temper, which left him devoid of emotions. Hwang becomes a prosecutor known for his piercing intelligence and logic, but he is ostracized because he lacks empathy and social skills. He is also one of only a handful of upright prosecutors who have refused to take bribes. One day, he encounters a stabbing victim while investigating corruption. He meets Lieutenant Han Yeo Jin at the crime scene. They join forces to root out corruption at the prosecutors’ office and solve a serial murder case.","Cho Seung Woo, Bae Doo Na, Lee Joon Hyuk, Yoo Jae Myung, Shin Hye Sun, Choi Jae Woong","Thriller,  Mystery,  Law,  Drama ","Suspense, Investigation, Corruption, Crime Solving Duo, Murder, Calm Male Lead, Alexithymia, Emotionless Male Lead, Strong Female Lead, Smart Female Lead",#34,8.8
Twenty-Five Twenty-One,2022,"Feb 12, 2022 - Apr  3, 2022"," Saturday, Sunday",16,"Netflix,  tvN ",1 hr. 15 min.,15+ - Teens 15 or older ,"In a time when dreams seem out of reach, a teen fencer pursues big ambitions and meets a hardworking young man who seeks to rebuild his life.","Kim Tae Ri, Nam Joo Hyuk, Bona, Choi Hyun Wook, Lee Joo Myung, Seo Jae Hee","Romance,  Life,  Drama,  Melodrama ","Coming Of Age, Nostalgia, Fencing, Nice Male Lead, Friendship, Character Development, Competition, IMF Crisis, High School To Working Life, Reporter Male Lead",#35,8.8
The Uncanny Counter,2020,"Nov 28, 2020 - Jan 24, 2021"," Saturday, Sunday",16,"Netflix,  OCN ",1 hr. 10 min.,15+ - Teens 15 or older ,It tells the story of demon hunters called Counters who come to earth under the guise of being employees at a noodle restaurant in order to capture evil spirits that have returned to earth in pursuit of eternal life.,"Cho Byeong Kyu, Yoo  Joon Sang, Kim Se Jeong, Yeom Hye Ran, Ahn Suk Hwan, Lee Hong Nae","Action,  Mystery,  Drama,  Supernatural ","Special Power, Righteous Male Lead, Found Family, Evil Spirit, Teamwork, Strong Female Lead, Orphan Male Lead, Multiple Mains, Spirit, Childhood Trauma",#36,8.8
Goblin,2016,"Dec  2, 2016 - Jan 21, 2017"," Friday, Saturday",16,tvN ,1 hr. 22 min.,15+ - Teens 15 or older ,"Kim Shin was once an unbeatable general in Goryeo's military who died a tragic death. He now possesses immortality but is tired of living while everyone else around him dies. For 900 years, Kim Shin has searched for his bride, a mortal who can pull out the sword and end his life. One day, he encounters Ji Eun Tak, a positive, upbeat high school student who can see the dead and has gone through tragic events, yet still stays strong. She claims to be the Goblin's bride who can end his immortal life, but what appears to be an easy task, only gets complicated, as the two fall in love.","Gong Yoo, Kim Go Eun, Lee Dong Wook, Yoo In Na, Yook Sung Jae, Lee El","Comedy,  Romance,  Fantasy,  Melodrama ","Supernatural, Older Man/Younger Woman, Interspecies Romance, Dokkaebi, Fate, Bromance, Death, Heartfelt, Tearjerker, Soulmates",#37,8.8
